answer_id,competency_id,question_text,answer,anchors,reference_score,llm_score,llm_confidence,llm_flags
eig+corr.p037.l1_transfer.s20260807#0,distributed_systems.replication,Talk me through the trade-offs you weigh around replication strategies. Concretely: the numbers reconcile in staging but not in production — what would push you one way or the other?,"My sense is that, In my experience what matters here is replication lag obviously. without question The other piece is synchronous replication. Closely related is failover promotion I think,. The other piece is split brain. my sense is that, The other piece is resolution conflict multi-leader. And then there is read replica routing. I would validate that with a measurement before committing to it.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",4,4,0.895,
eig+corr.p045.neutral.s20260807#2,databases.transactions,You are on call. Transactions and isolation is implicated in a live problem: two teams disagree about where the bug actually lives. Walk me through how you would think about it.,"The way I would approach this is to look at phantom read I could be wrong here but,. And then there is write skew. You also have to weigh optimistic concurrency control I could be wrong here but,. The other piece is deadlock detection clearly. Alongside that you have snapshot isolation. Closely related is read committed. at least in the systems I have worked on. something like, which is worth checking early rather than late. Which one dominates depends on the traffic and the failure budget.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",5,5,0.886,
eig+corr.p050.neutral.s20260807#0,ml.model_evaluation,A service is misbehaving and the evidence points at model evaluation: the numbers reconcile in staging but not in production. How do you narrow it down?,"The core of it comes down to roc auc versus pr auc. You also have to weigh class imbalance obviously if I remember correctly,. without question Which one dominates depends on the traffic and the failure budget.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",3,3,0.753,
eig+corr.p054.neutral.s20260807#4,delivery.ci_cd,Tell me about a time continuous integration and delivery mattered in something you built. In particular: latency on the p99 has tripled since Tuesday's deploy.,"In my experience what matters here is pipeline as gate. Alongside that you have fast feedback loop. Closely related is canary release. You also have to weigh blue-green deploy my sense is that,. Alongside that you have feature flag decoupling deploy from release. You also have to weigh rollback readiness. I would validate that with a measurement before committing to it.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",5,5,0.916,
eig.p037.l1_transfer.s20260807.nofu#0,distributed_systems.replication,Talk me through the trade-offs you weigh around replication strategies. Concretely: the numbers reconcile in staging but not in production — what would push you one way or the other?,"My sense is that, In my experience what matters here is replication lag obviously. without question The other piece is synchronous replication. Closely related is failover promotion I think,. The other piece is split brain. my sense is that, The other piece is resolution conflict multi-leader. And then there is read replica routing. I would validate that with a measurement before committing to it.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",4,4,0.895,
eig.p037.terse.s20260807#0,distributed_systems.replication,Talk me through the trade-offs you weigh around replication strategies. Concretely: the numbers reconcile in staging but not in production — what would push you one way or the other?,"In my experience what matters here is replication lag. probably, You also have to weigh synchronous replication. You also have to weigh failover promotion. The other piece is split brain. You also have to weigh multi-leader conflict resolution. And then there is read replica routing.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",5,5,0.842,
eig.p038.assertive.s20260807.sep-on#8,delivery.ci_cd,Tell me about a time continuous integration and delivery mattered in something you built. In particular: latency on the p99 has tripled since Tuesday's deploy.,Without question The first thing I would check is pipeline as gate definitively. I would validate that with a measurement before committing to it.,"Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",2,2,0.870,
eig.p038.name_a.s20260807.sep-off#6,observability.debugging,Tell me about a time production debugging mattered in something you built. In particular: the numbers reconcile in staging but not in production.,In my experience what matters here is bisecting the change set. Which one dominates depends on the traffic and the failure budget.,"Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",2,2,0.819,
eig.p039.l1_transfer.s20260807.sep-on#5,distributed_systems.consensus,Talk me through the trade-offs you weigh around consensus and coordination. Concretely: latency on the p99 has tripled since Tuesday's deploy — what would push you one way or the other?,"In my experience what matters here is leader election. probably, And then there is majority of quorum. Alongside that you have raft log replication. something like, And then there is term numbers. Alongside that you have tokens of fencing. if I remember correctly, Alongside that you have distributed lock lease. That is usually where the real problem turns out to be.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",4,4,0.772,
eig.p039.terse.s20260807.sep-off#1,distributed_systems.consistency,A service is misbehaving and the evidence points at consistency models: the fix that worked last quarter made it worse this time. How do you narrow it down?,"Probably, The way I would approach this is to look at monotonic reads. The other piece is linearizability. Closely related is quorum reads. Closely related is causal consistency.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",4,4,0.809,
eig.p040.terse.s20260807.nofu#2,ml.feature_engineering,You are on call. Feature engineering is implicated in a live problem: two teams disagree about where the bug actually lives. Walk me through how you would think about it.,I would start from feature store consistency. And then there is train-serve skew. Closely related is temporal feature windows. The other piece is missing value strategy.,"Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",4,3,0.882,
eig.p041.assertive.s20260807.sep-off#5,distributed_systems.consensus,Talk me through the trade-offs you weigh around consensus and coordination. Concretely: latency on the p99 has tripled since Tuesday's deploy — what would push you one way or the other?,Without question The first thing I would check is leader election obviously. I would validate that with a measurement before committing to it.,"Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",2,2,0.775,
eig.p041.name_a.s20260807.sep-off#3,databases.migrations,Tell me about a time schema migrations mattered in something you built. In particular: the numbers reconcile in staging but not in production.,"In my experience what matters here is expand and contract. the answer is straightforward: And then there is online schema change something like,. And then there is lock duration. the answer is straightforward: You also have to weigh dual write. That is usually where the real problem turns out to be.","Names none of the relevant ideas, or answers a different question. | Names one relevant idea but does not connect it to the situation. | Names the core ideas and applies at least one of them correctly. | Names the core ideas plus a second-order consideration, and reasons about the interaction. | Covers the full concept set including the failure modes, and states what would change the answer.",3,3,0.826,
